gene,
Abtb2,ankyrin repeat and BTB (POZ) domain containing 2
Adcyap1,adenylate cyclase activating polypeptide 1 (pituitary)
Apln,apelin
Arfgap3,ADP-ribosylation factor GTPase activating protein 3
Arl1,ADP-ribosylation factor-like 1
Armcx2,"armadillo repeat containing, X-linked 2"
Armcx3,"armadillo repeat containing, X-linked 3"
Asxl2,additional sex combs like transcriptional regulator 2
Bcl11b,B-cell CLL/lymphoma 11B (zinc finger protein)
C9orf84,chromosome 9 open reading frame 84
Cadps,Ca++-dependent secretion activator
Cask,calcium/calmodulin-dependent serine protein kinase (MAGUK family)
Ccnd1,cyclin D1
Cdc42,cell division cycle 42
Cited1,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1"
Clstn3,calsyntenin 3
Cyp26a1,"cytochrome P450, family 26, subfamily A, polypeptide 1"
Dennd5a,DENN/MADD domain containing 5A
Dhdds,dehydrodolichyl diphosphate synthase
Dnajb4,"DnaJ (Hsp40) homolog, subfamily B, member 4"
Dnm3,dynamin 3
Dusp7,dual specificity phosphatase 7
E2f3,E2F transcription factor 3
Elavl2,ELAV like neuron-specific RNA binding protein 2
Elf1,E74-like factor 1 (ets domain transcription factor)
Eml1,echinoderm microtubule associated protein like 1
Epb41,erythrocyte membrane protein band 4.1
Epc1,enhancer of polycomb homolog 1 (Drosophila)
Fkbp14,"FK506 binding protein 14, 22 kDa"
Foxred1,FAD-dependent oxidoreductase domain containing 1
Gale,UDP-galactose-4-epimerase
Gars,glycyl-tRNA synthetase
Gla,"galactosidase, alpha"
Glra2,"glycine receptor, alpha 2"
Gosr2,golgi SNAP receptor complex member 2
Gpr3,G protein-coupled receptor 3
Gria3,"glutamate receptor, ionotropic, AMPA 3"
Gtf2a1,"general transcription factor IIA, 1, 19/37kDa"
Gys1,glycogen synthase 1 (muscle)
Hbp1,HMG-box transcription factor 1
Hcrtr2,hypocretin (orexin) receptor 2
Hid1,HID1 domain containing
Hmbox1,homeobox containing 1
Hnrnph2,heterogeneous nuclear ribonucleoprotein H2 (H')
Hoxa11,homeobox A11
Hoxa3,homeobox A3
Hoxb5,homeobox B5
Hoxb7,homeobox B7
Il10,interleukin 10
Il1rapl1,interleukin 1 receptor accessory protein-like 1
Ints9,integrator complex subunit 9
Irs4,insulin receptor substrate 4
Itch,itchy E3 ubiquitin protein ligase
Jade1,jade family PHD finger 1
Kdelr1,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
Kif12,kinesin family member 12
Kiss1,KiSS-1 metastasis-suppressor
Krtcap2,keratinocyte associated protein 2
Lhx5,LIM homeobox 5
Lmbrd1,LMBR1 domain containing 1
Lrrc59,leucine rich repeat containing 59
Magel2,melanoma antigen family L2
Manf,mesencephalic astrocyte-derived neurotrophic factor
Map3k13,mitogen-activated protein kinase kinase kinase 13
Mgat2,"mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"
Mmp14,matrix metallopeptidase 14 (membrane-inserted)
Mogs,mannosyl-oligosaccharide glucosidase
Morf4l2,mortality factor 4 like 2
Mrps18b,mitochondrial ribosomal protein S18B
Neurod2,neuronal differentiation 2
Nkx2-2,NK2 homeobox 2
Nmnat2,nicotinamide nucleotide adenylyltransferase 2
Npas2,neuronal PAS domain protein 2
Osbp,oxysterol binding protein
Pax1,paired box 1
Pcyt1b,"phosphate cytidylyltransferase 1, choline, beta"
Pdia4,"protein disulfide isomerase family A, member 4"
Pim1,"Pim-1 proto-oncogene, serine/threonine kinase"
Plekhf1,"pleckstrin homology domain containing, family F (with FYVE domain) member 1"
Ppp1r10,"protein phosphatase 1, regulatory subunit 10"
Ppp2r3a,"protein phosphatase 2, regulatory subunit B'', alpha"
Prdx4,peroxiredoxin 4
Prelid1,PRELI domain containing 1
Prrx1,paired related homeobox 1
Ptchd1,patched domain containing 1
Pura,purine-rich element binding protein A
Qrich1,glutamine-rich 1
Rab1a,"RAB1A, member RAS oncogene family"
Rab24,"RAB24, member RAS oncogene family"
Rab25,"RAB25, member RAS oncogene family"
Rbm26,RNA binding motif protein 26
Rbm39,RNA binding motif protein 39
Rbp5,"retinol binding protein 5, cellular"
Reep3,receptor accessory protein 3
Rftn2,raftlin family member 2
Rgs1,regulator of G-protein signaling 1
Rhebl1,Ras homolog enriched in brain like 1
Rpl36al,ribosomal protein L36a-like
Rprd2,regulation of nuclear pre-mRNA domain containing 2
Ruvbl2,RuvB-like AAA ATPase 2
Sec24d,SEC24 family member D
Sec61a1,Sec61 alpha 1 subunit (S. cerevisiae)
Sema3b,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B"
Sik2,salt-inducible kinase 2
Skida1,SKI/DACH domain containing 1
Slc30a5,"solute carrier family 30 (zinc transporter), member 5"
Snd1,staphylococcal nuclease and tudor domain containing 1
Sntb2,"syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)"
Sox21,SRY (sex determining region Y)-box 21
Srp68,signal recognition particle 68kDa
Srpr,signal recognition particle receptor (docking protein)
Srsf1,serine/arginine-rich splicing factor 1
Srsf5,serine/arginine-rich splicing factor 5
Stat3,signal transducer and activator of transcription 3 (acute-phase response factor)
Sulf1,sulfatase 1
Syt3,synaptotagmin III
Tcf4,transcription factor 4
Tm9sf1,transmembrane 9 superfamily member 1
Tmem125,transmembrane protein 125
Tp53inp2,tumor protein p53 inducible nuclear protein 2
Trib2,tribbles pseudokinase 2
Trim46,tripartite motif containing 46
Trim55,tripartite motif containing 55
Trpc4ap,"transient receptor potential cation channel, subfamily C, member 4 associated protein"
Tspan7,tetraspanin 7
Tyro3,TYRO3 protein tyrosine kinase
Ube2b,ubiquitin-conjugating enzyme E2B
Uso1,USO1 vesicle transport factor
Wfikkn2,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2"
Xpnpep1,"X-prolyl aminopeptidase (aminopeptidase P) 1, soluble"
Yipf5,"Yip1 domain family, member 5"
Zbtb47,zinc finger and BTB domain containing 47
